ID,Angle,Ra[hh],Ra[mm],Ra[ss],Dec[deg],Dec[mm],Dec[ss],Ra[deg],Dec[deg],X,Y,x[west],x[east],azimuth_start_at_kiso,elevation_start_at_kiso,range_start_at_kiso,azimuth_end_at_kiso,elevation_end_at_kiso,range_end_at_kiso,az_telescope,alt_telescope,exposure_starting_time_tomoe,az_meteor,el_meteor
574521_069,78.0,9,42,52.7319,-9,27,57.748000000000005,145.71971630000002,-9.466041111000001,314,66,161.0,471.0,231.908296,27.640798999999998,203497.8169,234.89222999999998,26.114534,200611.6214,231.5,27.76,2018-04-18T13:52:49.813484,233.99624937882206,27.220595030343794
574521_070,78.0,9,41,35.8371,-9,23,52.856,145.39932130000003,-9.398015556,75,15,18.0,126.0,231.908296,27.640798999999998,203497.8169,234.89222999999998,26.114534,200611.6214,231.5,27.76,2018-04-18T13:52:49.813484,234.26162895781684,27.010012797122467
574534_069,130.0,9,38,34.5451,-7,10,7.296,144.6439379,-7.168693332999999,320,153,281.0,353.0,231.908296,27.640798999999998,203497.8169,234.89222999999998,26.114534,200611.6214,231.5,27.76,2018-04-18T13:52:49.813484,236.40376205300757,27.984276453777596
574542_069,78.0,9,32,41.0605,-8,54,59.707,143.1710854,-8.916585278,47,271,8.0,73.0,231.908296,27.640798999999998,203497.8169,234.89222999999998,26.114534,200611.6214,231.5,27.76,2018-04-18T13:52:49.813484,236.8343624003158,26.25644203126023
574932_008,113.5,9,37,45.5236,-8,41,8.286,144.4396817,-8.685635000000001,173,88,17.0,320.0,232.472043,26.337574,193265.6659,234.79965099999998,24.703810999999998,192356.9683,232.4,27.09,2018-04-18T13:57:01.320396,236.66070384585103,26.40276277773538
575431_053,84.0,9,44,13.6065,-9,43,14.402999999999999,146.0566938,-9.720667500000001,168,264,64.0,277.0,232.15504700000002,27.065155999999998,199840.0201,234.48956099999998,25.649463,195922.8927,232.2,27.26,2018-04-18T14:02:28.960049,235.69966313890825,25.839770283964565
575441_054,83.5,9,40,16.1533,-9,36,8.024,145.0673054,-9.602228889,247,182,60.0,460.0,232.15504700000002,27.065155999999998,199840.0201,234.48956099999998,25.649463,195922.8927,232.2,27.26,2018-04-18T14:02:28.960049,236.4919613290459,25.173729370570868
575516_115,83.5,9,53,14.2321,-5,42,38.718,148.30930039999998,-5.710755000000001,209,256,50.0,347.0,232.446946,29.315471000000002,202350.371,233.841881,28.015082,199924.7313,232.4,27.09,2018-04-18T14:03:31.829251,237.14710947414562,30.113480621432434
575913_115,96.0,9,59,54.0288,-7,56,5.854,149.97512,-7.9349594439999995,239,122,40.0,400.0,233.434391,28.598330999999998,195029.4669,234.63063599999998,26.588315,200946.1644,231.9,27.43,2018-04-18T14:07:55.732803,235.11643609878624,29.020805998108965
575923_115,96.0,9,55,36.4622,-8,2,41.565,148.90192580000001,-8.044879167000001,235,206,40.0,450.0,233.434391,28.598330999999998,195029.4669,234.63063599999998,26.588315,200946.1644,231.9,27.43,2018-04-18T14:07:55.732803,235.24891162474438,27.56530371106535
